Supplementary Table 2: ANCOM Oral Microbiota
ID FDR_CRCvsHC FDR_POLvsHC taxonomy.Kingdom taxonomy.Phylum
OTU01093 ns ns Bacteria Proteobacteria
OTU01095 ns ns Bacteria Proteobacteria
OTU01102 ns ns Bacteria Firmicutes
OTU01103 ns ns Bacteria Actinobacteria
OTU01108 ns ns Bacteria FirmicutesOTU01109 ns ns Bacteria Spirochaetes
OTU01130 ns ns Bacteria Firmicutes
OTU01138 ns ns Bacteria Spirochaetes
OTU01148 ns ns Bacteria Bacteroidetes
OTU01172 ns ns Bacteria Firmicutes
OTU01173 ns ns Bacteria Bacteroidetes
OTU01178 ns ns Bacteria Spirochaetes
OTU01193 ns ns Bacteria Candidatus_Saccharibacteria
OTU01205 ns ns Bacteria Proteobacteria
OTU01212 ns ns Bacteria Proteobacteria
OTU01223 ns ns Bacteria Firmicutes
OTU01225 ns ns Bacteria Firmicutes
OTU01241 ns ns Bacteria Bacteroidetes
OTU01250 ns ns Bacteria Cyanobacteria/Chloroplast
OTU01253 ns ns Bacteria Firmicutes
OTU01254 ns ns Bacteria Firmicutes
OTU01260 ns ns Bacteria Bacteroidetes
OTU01265 ns ns Bacteria Firmicutes
OTU01271 ns ns Bacteria Fusobacteria
OTU01279 ns ns Bacteria Firmicutes
OTU01300 ns ns Bacteria Firmicutes
OTU01306 ns ns Bacteria Actinobacteria
OTU01317 ns ns Bacteria Bacteroidetes
OTU01319 ns ns Bacteria Proteobacteria
OTU01324 ns ns Bacteria Fusobacteria
OTU01325 ns ns Bacteria Bacteroidetes
OTU01326 ns ns Bacteria Firmicutes
OTU01327 ns ns Bacteria Bacteroidetes
OTU01332 ns ns Bacteria Firmicutes
OTU01344 ns ns Bacteria Bacteroidetes
OTU01362 ns ns Bacteria Actinobacteria
OTU01365 ns ns Bacteria Firmicutes
OTU01366 ns ns Bacteria Firmicutes
OTU01372 ns ns Bacteria Fusobacteria
OTU01377 ns ns Bacteria Firmicutes
OTU01381 ns ns Bacteria Bacteroidetes
OTU01386 ns ns Bacteria Candidatus_Saccharibacteria
OTU01389 ns ns Bacteria Proteobacteria
OTU01407 ns ns Bacteria Bacteroidetes
OTU01425 ns ns Bacteria Firmicutes
OTU01443 ns ns Bacteria Spirochaetes
OTU01445 ns ns Bacteria Proteobacteria
OTU01455 ns ns Bacteria Proteobacteria
OTU01458 ns ns Bacteria Proteobacteria
OTU01466 ns ns Bacteria Verrucomicrobia
OTU01468 ns ns Bacteria Firmicutes
OTU01474 ns ns Bacteria Firmicutes
OTU01476 ns ns Bacteria Firmicutes
OTU01484 ns ns Bacteria Proteobacteria
OTU01496 ns ns Bacteria FirmicutesOTU01517 ns ns Bacteria Firmicutes
OTU01528 ns ns Bacteria Candidatus_Saccharibacteria
OTU01549 ns 0,05 Bacteria Bacteroidetes
OTU01555 ns ns Bacteria Proteobacteria
OTU01557 ns ns Bacteria Firmicutes
OTU01559 ns ns Bacteria Actinobacteria
OTU01587 ns ns Bacteria Proteobacteria
OTU01588 ns ns Bacteria Proteobacteria
OTU01589 ns ns Bacteria Tenericutes
OTU01601 ns ns Bacteria Bacteroidetes
OTU01605 ns ns Bacteria Bacteroidetes
OTU01606 ns ns Bacteria Firmicutes
OTU01608 ns ns Bacteria Actinobacteria
OTU01647 ns ns Bacteria Proteobacteria
OTU01648 ns ns Bacteria Firmicutes
OTU01663 ns ns Bacteria Bacteroidetes
OTU01683 ns ns Bacteria Proteobacteria
OTU01689 ns ns Bacteria Firmicutes
OTU01706 ns ns Bacteria Bacteroidetes
OTU01722 ns ns Bacteria Firmicutes
OTU01727 ns ns Bacteria Firmicutes
OTU01734 ns ns Bacteria Spirochaetes
OTU01747 ns ns Bacteria Proteobacteria
OTU01754 ns ns Bacteria Firmicutes
OTU01756 ns ns Bacteria Firmicutes
OTU01763 ns ns Bacteria Actinobacteria
OTU01784 ns ns Bacteria Firmicutes
OTU01820 ns ns Bacteria Firmicutes
OTU01832 ns ns Bacteria Bacteroidetes
OTU01878 ns ns Bacteria Bacteroidetes
OTU01880 ns ns Bacteria Proteobacteria
OTU01897 ns ns Bacteria Firmicutes
OTU01905 ns ns Bacteria Proteobacteria
OTU01911 ns ns Bacteria Actinobacteria
OTU01920 ns ns Bacteria Firmicutes
OTU01937 ns ns Bacteria Bacteroidetes
OTU01943 ns ns Bacteria Firmicutes
OTU01968 ns ns Bacteria Actinobacteria
OTU01977 ns ns Bacteria Firmicutes
OTU01978 ns ns Bacteria Bacteroidetes
OTU01983 ns ns Bacteria Spirochaetes
OTU01986 ns ns Bacteria Firmicutes
OTU01999 ns ns Bacteria Actinobacteria
OTU02001 ns ns Bacteria Proteobacteria
OTU02037 ns ns Bacteria Proteobacteria
OTU02048 ns ns Bacteria Bacteroidetes
OTU02049 ns ns Bacteria Bacteroidetes
OTU02070 ns ns Bacteria Proteobacteria
OTU02086 ns ns Bacteria Firmicutes
OTU02114 ns ns Bacteria BacteroidetesOTU02136 ns ns Bacteria Spirochaetes
OTU02145 ns ns Bacteria Actinobacteria
OTU02147 ns ns Bacteria Bacteroidetes
OTU02178 ns ns Bacteria Firmicutes
OTU02179 ns ns Bacteria Firmicutes
OTU02183 ns ns Bacteria Firmicutes
OTU02190 ns ns Bacteria Firmicutes
OTU02204 ns ns Bacteria Firmicutes
OTU02226 ns ns Bacteria Bacteroidetes
OTU02232 ns ns Bacteria Bacteroidetes
OTU02234 ns ns Bacteria Firmicutes
OTU02276 ns ns Bacteria Bacteroidetes
OTU02297 ns ns Bacteria Bacteroidetes
OTU02299 ns ns Bacteria Firmicutes
OTU02302 ns ns Bacteria Spirochaetes
OTU02304 ns ns Bacteria Actinobacteria
OTU02322 ns ns Bacteria Firmicutes
OTU02326 ns ns Bacteria Firmicutes
OTU02329 ns ns Bacteria Proteobacteria
OTU02345 ns ns Bacteria Proteobacteria
OTU02361 ns ns Bacteria Bacteroidetes
OTU02370 ns ns Bacteria Bacteroidetes
OTU02371 ns ns Bacteria Bacteroidetes
OTU02388 ns ns Bacteria Candidatus_Saccharibacteria
OTU02491 ns ns Bacteria Bacteroidetes
OTU02502 ns ns Bacteria Candidatus_Saccharibacteria
OTU02525 ns ns Bacteria Firmicutes
OTU02529 ns ns Bacteria Actinobacteria
OTU02538 ns ns Bacteria Firmicutes
OTU02566 ns ns Bacteria Bacteroidetes
OTU02581 ns ns Bacteria Bacteroidetes
OTU02586 ns ns Bacteria Firmicutes
OTU02615 ns ns Bacteria Bacteroidetes
OTU02630 ns ns Bacteria Bacteroidetes
OTU02640 ns ns Bacteria Actinobacteria
OTU02666 ns ns Bacteria Actinobacteria
OTU02711 ns ns Bacteria Bacteroidetes
OTU02766 ns ns Bacteria Firmicutes
OTU02787 ns ns Bacteria Bacteroidetes
OTU02791 ns ns Bacteria Firmicutes
OTU02936 ns ns Bacteria Bacteroidetes
OTU02975 ns ns Bacteria Actinobacteria
OTU02979 ns ns Bacteria Bacteroidetes
OTU03015 ns ns Bacteria Actinobacteria
OTU03043 ns ns Bacteria Bacteroidetes
OTU03063 ns ns Bacteria Bacteroidetes
OTU03076 ns ns Bacteria Bacteroidetes
OTU03100 ns ns Bacteria Proteobacteria
OTU03107 ns ns Bacteria Proteobacteria
OTU03139 ns ns Bacteria FirmicutesOTU03149 ns ns Bacteria Firmicutes
OTU03156 ns ns Bacteria Firmicutes
OTU03162 ns ns Bacteria Bacteroidetes
OTU03179 ns ns Bacteria Bacteroidetes
